index_id,name,child_uuid,child_name
1,Diarrhea,aab201cd-7953-4b1e-8821-20d53f8d09af,Diarrhea
2,Tuberculosis,1e54dc21-8562-4b05-8cb5-34908b1fcf42,Tuberculosis
3,Dysentry(Blood diarhea),ca3d72a0-bc7d-4270-b1a2-0514dbb79ccb,Dysentry(Blood diarhea)
4,Cholera,f129df86-4e14-11e4-8a57-0800271c1b75,Cholera
5,Meningococal Menengitis,efdcfec8-4e14-11e4-8a57-0800271c1b75,Streptococcal meningitis
5,Meningococal Menengitis,e337000e-4e14-11e4-8a57-0800271c1b75,Meningococal menengitis
6,Other Menengitis,aaed3c55-48c5-46b7-873c-62647bfbd9e7,Other Menengitis
7,Tetanus,ddcf6c24-bdce-49be-a71a-f180ff32e140,Tetenus
8,Poliomyelitis(AFP),cefb1c9f-48a6-4790-8ea6-549d92c9a441,Poliomyelitis(AFP)
9,Chicken Pox,dbeac028-4e14-11e4-8a57-0800271c1b75,Chicken Pox
10,Measles,efd2679c-4e14-11e4-8a57-0800271c1b75,Measles
11,Hepatitis,3b4f1bce-7f84-4d34-9728-6ef4aa34c49f,Hepatitis
12,Mumps,329550c1-357e-4509-8f48-5da5a49c8b40,Mumps
13,Suspected Malaria,bba0e411-a2bb-4be3-8712-f0b38d589945,Suspected Malaria
14,Tested for Malaria,74f0d6f6-b68b-402b-9615-103684c90f06,Tested for Malaria
15,Confirmed Malaria,e021e3f5-572d-4749-952d-1b046a4e970a,Confirmed Malaria
16,Malaria in pregnancy,1143a5fc-4127-4783-99cb-e2e2c296f377,Malaria in pregnancy
17,Amoebasis,564bf1cb-51ca-4050-9575-f6b80efc309a,Amoebasis
18,Typhoid Fever,3fdde7b3-b352-41e3-ad9f-c598785db64c,Typhoid Fever
19,Sexually Transmitted Infections,e1b9a81e-f83f-4654-9432-c653d89057c1,Sexually Transmitted Infections
20,Urinary Tract Infection,604df2ae-2af2-42cb-9180-bb6b33a57556,Urinary Tract Infection
21,Bilharzia (Schistomiasis),d8428112-3e69-4371-b61a-8ce7e788e9fe,Bilharzia (Schistomiasis)
22,Intestinal Worms,c38b9b74-57c6-4a12-ac52-7045499e1911,Intestinal Worms
23,Malnutrition,c18f73d3-1591-4b7b-a46b-23fae6748aa0,Malnutrition
24,Anaemia,d4a17cdf-d965-4b5c-80ed-70c73f959dee,Anaemia
25,Eye Infections,6d69004e-ec76-4754-961f-fe33796a394b,Eye Infections
26,Ear Infections,21041918-2b5a-4a67-b375-807bf35370f7,Ear Infections
27,Upper respiratory tract infections,f59b0d8c-5d3c-4a26-b4f6-4863b64f9465,Upper respiratory tract infections
28,Asthma,11ca83c4-a2d4-47cb-ae4a-0d33f0ba5703,Asthma
29,Pneumonia,e6b508fd-4e14-11e4-8a57-0800271c1b75,Pneumonia
30,Other Lower respiratory Tract Infections,4d5e46ad-9344-4af9-849e-cb9ac884abb9,Other Lower respiratory Tract Infections
31,Abortion,eff028ad-4e14-11e4-8a57-0800271c1b75,"Abortion with unspecified complication, incomplete"
31,Abortion,ea6e3239-4e14-11e4-8a57-0800271c1b75,"Threatened abortion, unspec."
31,Abortion,ea185ac5-4e14-11e4-8a57-0800271c1b75,"Abortion, induced, w/o complication"
31,Abortion,ea1b0b93-4e14-11e4-8a57-0800271c1b75,"Abortion, spontaneous, w/o complication"
32,Dis. of Puerperium & Child Birth,ea3b6389-4e14-11e4-8a57-0800271c1b75,"Other complication of puerperium/postpartum, unspec."
33,Hypertension,7620e8a8-7d8d-42d8-9218-2af56d65248c,HyperTension
33,Hypertension,f11ef771-4e14-11e4-8a57-0800271c1b75,Portal hypertension
33,Hypertension,efe03f8b-4e14-11e4-8a57-0800271c1b75,Benign intracranial hypertension
33,Hypertension,e46bc0bf-4e14-11e4-8a57-0800271c1b75,"Hypertension, benign"
33,Hypertension,e4a391e6-4e14-11e4-8a57-0800271c1b75,"Hypertension, unspec."
33,Hypertension,e46e6f21-4e14-11e4-8a57-0800271c1b75,"Hypertension, malignant"
33,Hypertension,e3f044de-4e14-11e4-8a57-0800271c1b75,Elevated BP w/o hypertension
33,Hypertension,ea3601ff-4e14-11e4-8a57-0800271c1b75,"Gestational hypertension, unspec."
33,Hypertension,e4e8ab00-4e14-11e4-8a57-0800271c1b75,"Hypertensive renal disease w/o renal failure, unspec."
33,Hypertension,e4e48d1c-4e14-11e4-8a57-0800271c1b75,"Hypertensive heart disease, unspec., w/ heart failure"
34,Dental Disorders,a2ea11ab-fa33-45cc-93bd-e868ffa12ab5,ARRESTED DENTAL CARIES
34,Dental Disorders,e76d6d6a-4e14-11e4-8a57-0800271c1b75,Dental abscess
34,Dental Disorders,936ddfe1-88c6-406e-9b3d-52d2238e41e4,DENTAL CARIES ON PIT AND FISSURE SURFACE
34,Dental Disorders,054c6cfc-5b0f-48f3-b435-d1441bbac81c,DENTAL CARIES ON PIT AND FISSURE SURFACE LIMITED TO ENAMEL
34,Dental Disorders,ddfa9f58-18bd-4707-90b6-7d17c4364e4f,DENTAL CARIES ON PIT AND FISSURE SURFACE PENETRATING INTO DENTIN
